Drug	Target
D10918	HDAC6 [HSA:10013] [KO:K11407]
D10919	Ebolavirus envelope glycoprotein [KO:K24534]
D10921	SNAP25 [HSA:6616] [KO:K18211]
D10924	PIK3CD [HSA:5293] [KO:K00922]
D10926	NTRK1* (TRKA) [HSA_VAR:4914v1] [HSA:4914] [KO:K03176]
	ROS1* [HSA_VAR:6098v1] [HSA:6098] [KO:K05088]
	NTRK2 (TRKB) [HSA:4915] [KO:K04360]
	NTRK3 (TRKC) [HSA:4916] [KO:K05101]
	ALK (CD246) [HSA:238] [KO:K05119]
D10927	FGFR3* (CD333) [HSA_VAR:2261v2] [HSA:2261] [KO:K05094]
	FGFR2* (CD332) [HSA_VAR:2263v2] [HSA:2263] [KO:K05093]
D10928	CALCRL [HSA:10203] [KO:K04577]
D10930	S1PR1 [HSA:1901] [KO:K04288]
	S1PR4 [HSA:8698] [KO:K04293]
	S1PR5 [HSA:53637] [KO:K04295]
D10931	S1PR1 [HSA:1901] [KO:K04288]
	S1PR4 [HSA:8698] [KO:K04293]
	S1PR5 [HSA:53637] [KO:K04295]
D10932	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D10936	CALCA (CGRP) [HSA:796] [KO:K12332]
D10938	CHRM3 [HSA:1131] [KO:K04131]
D10939	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
D10940	TTR [HSA:7276] [KO:K20731] (mRNA)
D10941	TTR [HSA:7276] [KO:K20731] (mRNA)
D10943	IGF1R (CD221) [HSA:3480] [KO:K05087]
	ERBB3 (HER3) [HSA:2065] [KO:K05084]
D10944	JAK1 [HSA:3716] [KO:K11217]
D10945	JAK1 [HSA:3716] [KO:K11217]
D10946	BACE1 [HSA:23621] [KO:K04521]
D10947	BACE1 [HSA:23621] [KO:K04521]
D10948	Ebolavirus envelope glycoprotein [KO:K24534]
D10949	SNAP25 [HSA:6616] [KO:K18211]
D10950	CYP11B1 [HSA:1584] [KO:K00497]
	CYP11A1 [HSA:1583] [KO:K00498]
	CYP17A1 [HSA:1586] [KO:K00512]
D10951	SLC10A [HSA:6554 6555 8273 347051 201780 345274 84068] [KO:K14341 K14342 K14343 K14344 K14346 K14347]
D10952	SLC10A2 (ASBT, IBAT) [HSA:6555] [KO:K14342]
D10953	FOLR1 [HSA:2348] [KO:K13649]
D10954	FOLR1 [HSA:2348] [KO:K13649]
	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D10955	SMAD7 [HSA:4092] [KO:K19631] (mRNA)
D10956	SMAD7 [HSA:4092] [KO:K19631] (mRNA)
D10958	EGFR [HSA:1956] [KO:K04361]
D10959	P38 [HSA:1432 5600 5603 6300] [KO:K04441]
D10960	PSEN1/PSENEN/NCSTN/APH1A [HSA:5663 55851 23385 51107] [KO:K04505 K06170 K06171 K06172]
D10963	NT5E (CD73) [HSA:4907] [KO:K19970]
D10964	NFE2L2 [HSA:4780] [KO:K05638]
D10965	PTGER2 [HSA:5732] [KO:K04259]
D10966	PTGER2 [HSA:5732] [KO:K04259]
D10967	S1PR [HSA:1901 9294 1903 8698 53637] [KO:K04288 K04292 K04290 K04293 K04295]
D10968	S1PR [HSA:1901 9294 1903 8698 53637] [KO:K04288 K04292 K04290 K04293 K04295]
D10969	CTGF [HSA:1490] [KO:K06827]
D10970	GLP1R [HSA:2740] [KO:K04581]
D10971	ADORA3 [HSA:140] [KO:K04268]
D10972	CCR2 (CD192) [HSA:729230] [KO:K04177]
D10974	Ebolavirus envelope glycoprotein [KO:K24534]
D10976	GUCY2C [HSA:2984] [KO:K12320]
D10977	HDAC [HSA:3065 3066 8841 9759 10014 10013 51564 55869 9734 83933 79885] [KO:K06067 K11404 K11406 K11407 K11408 K11405 K11409 K18671 K11418]
D10978	CHRM3 [HSA:1131] [KO:K04131]
D10979	CDK4/6 [HSA:1019 1021] [KO:K02089 K02091]
D10981	DLL3 [HSA:10683] [KO:K06051]
D10982	PARP1 [HSA:142] [KO:K24070]
	PARP2 [HSA:10038] [KO:K10798]
	PARP3 [HSA:10039] [KO:K10798]
D10983	PPP3C/PPP3R/CHP [HSA:5530 5532 5533 5534 5535 11261 63928] [KO:K04348 K06268 K17610 K17611]
D10985	TOP1 [HSA:7150] [KO:K03163]
	TACSTD2 (TROP2) [HSA:4070] [KO:K17288]
D10986	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D10987	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D10988	MAP3K5 (ASK1) [HSA:4217] [KO:K04426]
D10989	CHRM3 [HSA:1131] [KO:K04131]
D10990	GHR [HSA:2690] [KO:K05080]
D10991	RSV F protein [KO:K19261]
D10993	CD244 [HSA:51744] [KO:K06582]
	CD8 [HSA:925 926] [KO:K06458 K06459]
	HDAC1 [HSA:3065] [KO:K06067]
	HDAC2 [HSA:3066] [KO:K06067]
	HDAC3 [HSA:8841] [KO:K11404]
	HDAC10 [HSA:83933] [KO:K18671]
D10994	JAK1 [HSA:3716] [KO:K11217]
D10995	JAK1 [HSA:3716] [KO:K11217]
D10996	HCV NS5B polymerase [KO:K22472]
D10998	beta-lactamases
D10999	SLC18A2 (VMAT2) [HSA:6571] [KO:K08155]
D11000	NR3C1 (GR) [HSA:2908] [KO:K05771]
D11003	TLR7 [HSA:51284] [KO:K05404]
D11004	GUSB* [HSA_VAR:2990v1] [HSA:2990] [KO:K01195]
D11008	RPE65 [HSA:6121] [KO:K11158]
D11009	ADRB2 [HSA:154] [KO:K04142]
D11010	beta-1,3-glucan synthase [KO:K00706]
D11011	PIK3CA* [HSA_VAR:5290v1] [HSA:5290] [KO:K00922]
D11012	EML4-ALK [HSA_VAR:238v1] [HSA:238] [KO:K05119]
	ALK (CD246) [HSA:238] [KO:K05119]
	ROS1 [HSA:6098] [KO:K05088]
D11013	penicillin binding protein
D11014	HCV NS3/4A protease [KO:K22273 K22274]
	HCV NS5A [KO:K22275]
D11017	ADA* [HSA_VAR:100v1] [HSA:100] [KO:K01488]
D11020	PTGS2 (COX2) [HSA:5743] [KO:K11987]
	MMP1 [HSA:4312] [KO:K01388]
D11021	Influenza A virus polymerase acidic protein [KO:K19390]
D11022	HCRTR [HSA:3061 3062] [KO:K04238 K04239]
D11023	DPP4 (CD26) [HSA:1803] [KO:K01278]
D11024	MAN2B1* [HSA_VAR:4125v1] [HSA:4125] [KO:K12311]
D11025	IDS* [HSA_VAR:3423v1] [HSA:3423] [KO:K01136]
D11026	CSF3R (GCSFR, CD114) [HSA:1441] [KO:K05061]
D11027	IFNAR1 [HSA:3454] [KO:K05130]
	IFNAR2 [HSA:3455] [KO:K05131]
D11028	NGFR (TNFRSF16, CD271) [HSA:4804] [KO:K02583]
D11029	F10 [HSA:2159] [KO:K01314]
D11030	ROCK [HSA:6093 9475] [KO:K04514 K17388]
D11031	ROCK [HSA:6093 9475] [KO:K04514 K17388]
D11032	RAC1 [HSA:5879] [KO:K04392]
D11033	SSTR2 [HSA:6752] [KO:K04218]
D11034	INSR (CD220) [HSA:3643] [KO:K04527]
	GLP1R [HSA:2740] [KO:K04581]
D11038	ERK [HSA:5594 5595] [KO:K04371]
D11039	HIV-1 reverse transcriptase [KO:K24802]
	HIV-1 integrase [KO:K24803]
D11040	NR3C4 (AR) [HSA:367] [KO:K08557]
D11041	CFTR (ABCC7) [HSA:1080] [KO:K05031]
D11042	CFTR* [HSA_VAR:1080v1] [HSA:1080] [KO:K05031]
D11043	SLC5A2 (SGLT2) [HSA:6524] [KO:K14382]
D11044	IDH2* [HSA_VAR:3418v1] [HSA:3418] [KO:K00031]
D11045	NR3C4 (AR) [HSA:367] [KO:K08557]
D11046	JAK1 [HSA:3716] [KO:K11217]
	JAK2 [HSA:3717] [KO:K04447]
	JAK3 [HSA:3718] [KO:K11218]
	TYK2 [HSA:7297] [KO:K11219]
D11047	MSTN [HSA:2660] [KO:K05497]
D11048	JAK1 [HSA:3716] [KO:K11217]
D11049	IDO1 [HSA:3620] [KO:K00463]
D11050	CD38 [HSA:952] [KO:K01242]
D11051	GUCY1A [HSA:2977 2982] [KO:K12318]
	GUCY1B [HSA:2983] [KO:K12319]
D11052	IL23A [HSA:51561] [KO:K05426]
D11053	BRAF* [HSA_VAR:673v1] [HSA:673] [KO:K04365]
D11054	C5 [HSA:727] [KO:K03994]
D11055	CALCA (CGRP) [HSA:796] [KO:K12332]
D11056	HTR2 [HSA:3356 3357 3358] [KO:K04157]
	HTR3 [HSA:3359 9177 170572 200909 285242] [KO:K04819]
	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D11061	CYP11B2 [HSA:1585] [KO:K07433]
D11062	CYP11B2 [HSA:1585] [KO:K07433]
D11063	CASR [HSA:846] [KO:K04612]
D11065	TACR1 (NK1R) [HSA:6869] [KO:K04222]
D11070	BTK [HSA:695] [KO:K07370]
D11072	S1PR1 [HSA:1901] [KO:K04288]
	S1PR5 [HSA:53637] [KO:K04295]
D11073	MET* [HSA_VAR:4233v4] [HSA:4233] [KO:K05099]
D11074	AKT (PKB) [HSA:207 208 10000] [KO:K04456]
D11077	PAH* [HSA_VAR:5053v1] [HSA:5053] [KO:K00500]
D11078	EGLN (HPH) [HSA:54583 112398 112399] [KO:K09592]
D11079	IL6R (CD126) [HSA:3570] [KO:K05055]
D11080	IL31RA [HSA:133396] [KO:K22630]
D11081	XDH [HSA:7498] [KO:K00106]
D11082	IFNAR1 [HSA:3454] [KO:K05130]
	IFNAR2 [HSA:3455] [KO:K05131]
D11083	VEGFA [HSA:7422] [KO:K05448]
D11085	dihydrofolate reductase [KO:K13938]
D11090	IDH1* [HSA_VAR:3417v1] [HSA:3417] [KO:K00031]
D11092	HMGCR [HSA:3156] [KO:K00021]
D11093	C5AR1 (CD88) [HSA:728] [KO:K04010]
D11094	KLKB1 [HSA:3818] [KO:K01324]
D11095	HMGCR [HSA:3156] [KO:K00021]
D11098	CHRM1 [HSA:1128] [KO:K04129]
D11100	serine proteases
D11101	DNA gyrase [KO:K02469 K02470]
D11102	CACNA1-L [HSA:775 776 778 779] [KO:K04850 K04851 K04853 K04857]
D11105	NR3C4 (AR) [HSA:367] [KO:K08557]
D11106	JAK1 [HSA:3716] [KO:K11217]
	JAK2 [HSA:3717] [KO:K04447]
	JAK3 [HSA:3718] [KO:K11218]
	TYK2 [HSA:7297] [KO:K11219]
D11107	SMO [HSA:6608] [KO:K06226]
D11108	PDCD1 (PD1, CD279) [HSA:5133] [KO:K06744]
D11110	CEACAM [HSA:1048 1084 1087 1088 1089 4680 634 90273] [KO:K06499]
D11111	OPRK1 [HSA:4986] [KO:K04214]
D11113	NR1A (THR) [HSA:7067 7068] [KO:K05547 K08362]
D11114	ATP4 [HSA:495 496] [KO:K01542 K01543]
D11115	EGFR [HSA:1956] [KO:K04361]
D11116	TTR [HSA:7276] [KO:K20731] (mRNA)
D11117	DLL3 [HSA:10683] [KO:K06051]
D11118	PTK7 [HSA:5754] [KO:K05127]
D11119	PTK7 [HSA:5754] [KO:K05127]
D11120	IFNG [HSA:3458] [KO:K04687]
D11121	CSF2 [HSA:1437] [KO:K05427]
D11122	TNFSF5 (CD154) [HSA:959] [KO:K03161]
D11123	IL23A [HSA:51561] [KO:K05426]
D11125	EGFR [HSA:1956] [KO:K04361]
D11126	DLL4 [HSA:54567] [KO:K06051]
	VEGFA [HSA:7422] [KO:K05448]
D11127	TNFSF13B (BAFF, CD257) [HSA:10673] [KO:K05476]
	IL17A [HSA:3605] [KO:K05489]
D11128	ADORA3 [HSA:140] [KO:K04268]
D11129	URAT1 [HSA:116085] [KO:K08208]
D11130	CDK4/6 [HSA:1019 1021] [KO:K02089 K02091]
D11131	BRD2 [HSA:6046] [KO:K08871]
	BRD3 [HSA:8019] [KO:K11721]
	BRD4 [HSA:23476] [KO:K11722]
	BRDT [HSA:676] [KO:K11724]
D11136	MET [HSA:4233] [KO:K05099]
D11137	NTRK [HSA:4914 4915 4916] [KO:K03176 K04360 K05101]
D11138	NTRK [HSA:4914 4915 4916] [KO:K03176 K04360 K05101]
D11139	MET [HSA:4233] [KO:K05099]
D11140	AXL [HSA:558] [KO:K05115]
	MET [HSA:4233] [KO:K05099]
	EPHA1 [HSA:2041] [KO:K05102]
	EPHA2 [HSA:1969] [KO:K05103]
	EPHB1 [HSA:2047] [KO:K05110]
	EPHB2 [HSA:2048] [KO:K05111]
	EPHB4 [HSA:2050] [KO:K05113]
	PDGFR [HSA:5156 5159] [KO:K04363 K05089]
	VEGFR1 (FLT1) [HSA:2321] [KO:K05096]
	VEGFR2 (KDR) [HSA:3791] [KO:K05098]
	VEGFR3 (FLT4) [HSA:2324] [KO:K05097]
D11141	ERBB2* (HER2, CD340) [HSA_VAR:2064v1] [HSA:2064] [KO:K05083]
	ERBB3 (HER3) [HSA:2065] [KO:K05084]
D11142	AGTR1 [HSA:185] [KO:K04166]
	AGTR2 [HSA:186] [KO:K04167]
D11144	CD19 [HSA:930] [KO:K06465]
D11148	ATR [HSA:545] [KO:K06640]
D11149	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
D11150	GABR [HSA:2554 2555 2556 2557 2558 2559 2560 2561 2562 2563 2564 2565 2566 2567 2568 55879] [KO:K05175 K05181 K05184 K05185 K05186 K05189 K05192]
	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D11151	NOTCH1 [HSA:4851] [KO:K02599]
	PSEN1/PSENEN/NCSTN/APH1A [HSA:5663 55851 23385 51107] [KO:K04505 K06170 K06171 K06172]
D11155	SCN1A [HSA:6323] [KO:K04833]
	SCN2A [HSA:6326] [KO:K04834]
	SCN3A [HSA:6328] [KO:K04836]
	SCN4A [HSA:6329] [KO:K04837]
	SCN5A [HSA:6331] [KO:K04838]
	SCN8A [HSA:6334] [KO:K04840]
	SCN9A [HSA:6335] [KO:K04841]
	SCN10A [HSA:6336] [KO:K04842]
	SCN11A [HSA:11280] [KO:K04843]
D11156	SCN9A [HSA:6335] [KO:K04841]
D11158	PIK3C [HSA:5290 5291 5293] [KO:K00922]
D11159	PIK3CD [HSA:5293] [KO:K00922]
D11160	VWF [HSA:7450] [KO:K03900]
D11161	GHR [HSA:2690] [KO:K05080] (mRNA)
D11162	GHR [HSA:2690] [KO:K05080] (mRNA)
D11163	MIR155 [HSA:406947] [KO:K17009]
D11164	MIR155 [HSA:406947] [KO:K17009]
D11165	GRB2 [HSA:2885] [KO:K04364] (mRNA)
D11169	HTR2A [HSA:3356] [KO:K04157]
	DRD2 [HSA:1813] [KO:K04145]
D11170	HTR2A [HSA:3356] [KO:K04157]
	DRD2 [HSA:1813] [KO:K04145]
D11171	PDE10A [HSA:10846] [KO:K18438]
D11172	SLC18A2 (VMAT2) [HSA:6571] [KO:K08155]
	SLC6A4 (HTT) [HSA:6532] [KO:K05037]
	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
D11179	SCN9A [HSA:6335] [KO:K04841]
D11180	SCN9A [HSA:6335] [KO:K04841]
D11181	NR3C3 (PGR) [HSA:5241] [KO:K08556]
D11182	DNA
	HDAC1 [HSA:3065] [KO:K06067]
	HDAC2 [HSA:3066] [KO:K06067]
	HDAC3 [HSA:8841] [KO:K11404]
	HDAC6 [HSA:10013] [KO:K11407]
D11183	CASTOR [HSA:652968 729438] [KO:K23080 K23081]
D11184	NR3C4 (AR) [HSA:367] [KO:K08557]
D11185	NR3C4 (AR) [HSA:367] [KO:K08557]
D11186	ACACA [HSA:31] [KO:K11262]
	ACACB [HSA:32] [KO:K01946]
D11188	CSF3R (GCSFR, CD114) [HSA:1441] [KO:K05061]
D11190	NPR2 [HSA:4882] [KO:K12324]
D11191	PRKCB [HSA:5579] [KO:K19662]
	PRKCA [HSA:5578] [KO:K02677]
	PRKCG [HSA:5582] [KO:K19663]
D11192	SSTR [HSA:6751 6752 6753 6754 6755] [KO:K04217 K04218 K04219 K04220 K04221]
D11193	GHR [HSA:2690] [KO:K05080]
D11194	GHR [HSA:2690] [KO:K05080]
D11195	CASP9 [HSA:842] [KO:K04399]
D11199	NAGLU* [HSA_VAR:4669v1] [HSA:4669] [KO:K01205]
D11200	IL10R [HSA:3587 3588] [KO:K05134 K05135]
D11203	CACNA2D1 [HSA:781] [KO:K04858]
	CACNA2D2 [HSA:9254] [KO:K04859]
D11204	SSTR2 [HSA:6752] [KO:K04218]
D11206	CHEK1 [HSA:1111] [KO:K02216]
D11207	50S ribosomal subunit
D11208	NR1C1 (PPARA) [HSA:5465] [KO:K07294]
D11209	SYK [HSA:6850] [KO:K05855]
D11210	MAPT (TAU) [HSA:4137] [KO:K04380]
D11212	GABA-gated chloride channel [KO:K05181 K05195 K05175]
D11214	OPRM1 [HSA:4988] [KO:K04215]
	ARRB [HSA:408 409] [KO:K04439]
D11215	S1PR1 [HSA:1901] [KO:K04288]
D11216	RSV F protein [KO:K19261]
D11217	HCV NS5A [KO:K22275]
D11219	MDM2 [HSA:4193] [KO:K06643]
D11220	HTR4 [HSA:3360] [KO:K04160]
D11221	HTR4 [HSA:3360] [KO:K04160]
D11222	XPO1 [HSA:7514] [KO:K14290]
D11223	XPO1 [HSA:7514] [KO:K14290]
D11224	MAOB [HSA:4129] [KO:K00274]
D11225	NR1B3 (RARG) [HSA:5916] [KO:K08529]
D11228	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D11229	NOTCH1 [HSA:4851] [KO:K02599]
D11230	GCGR [HSA:2642] [KO:K04583]
D11231	CD19 [HSA:930] [KO:K06465]
D11232	CD19 [HSA:930] [KO:K06465]
	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D11233	GUCY2C [HSA:2984] [KO:K12320]
D11234	CSF1R (FMS, CD115) [HSA:1436] [KO:K05090]
D11235	MSTN [HSA:2660] [KO:K05497]
D11236	CSF2 [HSA:1437] [KO:K05427]
D11237	SLC34A2 [HSA:10568] [KO:K14683]
D11238	SLC34A2 [HSA:10568] [KO:K14683]
	TUBB [HSA:10381 10382 10383 203068 347688 347733 7280 81027 84617] [KO:K07375]
D11239	ERBB3 (HER3) [HSA:2065] [KO:K05084]
D11240	MUC16 (CA125) [HSA:94025] [KO:K16145]
D11241	MUC16 (CA125) [HSA:94025] [KO:K16145]
D11242	MSTN [HSA:2660] [KO:K05497]
D11243	CD20 [HSA:931] [KO:K06466]
D11244	ANGPT2 [HSA:285] [KO:K05466]
	VEGFA [HSA:7422] [KO:K05448]
D11245	PDE10A [HSA:10846] [KO:K18438]
D11246	HIV-1 reverse transcriptase [KO:K24802]
D11251	EGFR [HSA:1956] [KO:K04361]
D11253	IL1A [HSA:3552] [KO:K04383]
D11255	IDO1 [HSA:3620] [KO:K00463]
D11256	NR1C3 (PPARG) [HSA:5468] [KO:K08530]
D11257	NR1C3 (PPARG) [HSA:5468] [KO:K08530]
D11260	ENG (CD105) [HSA:2022] [KO:K06526]
D11261	TFPI [HSA:7035] [KO:K03909]
D11262	MMP9 [HSA:4318] [KO:K01403]
D11264	NR3A (ESR) [HSA:2099 2100] [KO:K08550 K08551]
D11265	MSTN [HSA:2660] [KO:K05497]
D11267	PIK3CD [HSA:5293] [KO:K00922]
D11268	TNFRSF4 (CD134, OX40) [HSA:7293] [KO:K05142]
D11269	HCRTR2 [HSA:3062] [KO:K04239]
D11270	CSF1R (FMS, CD115) [HSA:1436] [KO:K05090]
	KIT (CD117) [HSA:3815] [KO:K05091]
	FLT3* (CD135) [HSA_VAR:2322v2] [HSA:2322] [KO:K05092]
D11271	CSF1R (FMS, CD115) [HSA:1436] [KO:K05090]
	KIT (CD117) [HSA:3815] [KO:K05091]
	FLT3* (CD135) [HSA_VAR:2322v2] [HSA:2322] [KO:K05092]
D11273	EGLN (HPH) [HSA:54583 112398 112399] [KO:K09592]
D11274	GUCY1A [HSA:2977 2982] [KO:K12318]
	GUCY1B [HSA:2983] [KO:K12319]
D11275	INPP5D (SHIP1) [HSA:3635] [KO:K03084]
D11276	INPP5D (SHIP1) [HSA:3635] [KO:K03084]
D11278	Influenza A virus polymerase acidic protein [KO:K19390]
D11279	KIT* (CD117) [HSA_VAR:3815v1] [HSA:3815] [KO:K05091]
	PDGFRA* [HSA_VAR:5156v2] [HSA:5156] [KO:K04363]
D11280	F2 [HSA:2147] [KO:K01313]
D11281	CD28 [HSA:940] [KO:K06470]
D11282	HIV-1 reverse transcriptase [KO:K24802]
	HIV-1 integrase [KO:K24803]
D11283	S1PR1 [HSA:1901] [KO:K04288]
D11285	ERK [HSA:5594 5595] [KO:K04371]
D11286	EGR1 [HSA:1958] [KO:K09203]
D11287	Influenza polymerase basic protein 2 [KO:K19388]
D11288	VEGFR2 (KDR) [HSA:3791] [KO:K05098]
D11289	VEGFR2 (KDR) [HSA:3791] [KO:K05098]
D11291	OPRM1 [HSA:4988] [KO:K04215]
D11292	OPRM1 [HSA:4988] [KO:K04215]
D11293	MAPT (TAU) [HSA:4137] [KO:K04380]
D11294	CD33 (SIGLEC3) [HSA:945] [KO:K06473]
D11295	CD33 (SIGLEC3) [HSA:945] [KO:K06473]
D11296	JAK2 [HSA:3717] [KO:K04447]
D11299	GRIN (NMDAR) [HSA:2902 2903 2904 2905 2906] [KO:K05208 K05209 K05210 K05211 K05212]
D11301	TNFRSF4 (CD134, OX40) [HSA:7293] [KO:K05142]
D11302	penicillin binding protein
D11303	CALCA (CGRP) [HSA:796] [KO:K12332]
D11305	PDE4 [HSA:5141 5142 5143 5144] [KO:K13293]
D11306	IL3RA (CD123) [HSA:3563] [KO:K04737]
	CD3 [HSA:915 916 917] [KO:K06450 K06451 K06452]
D11307	MET [HSA:4233] [KO:K05099]
D11310	SELE (CD62E) [HSA:6401] [KO:K06494]
D11312	CNR2 [HSA:1269] [KO:K04278]
D11313	CALCRL [HSA:10203] [KO:K04577]
D11314	PDE4 [HSA:5141 5142 5143 5144] [KO:K13293]
D11315	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
D11316	RSV RNA polymerase
D11317	TPH1 [HSA:7166] [KO:K00502]
D11318	TPH1 [HSA:7166] [KO:K00502]
D11319	HDAC1 [HSA:3065] [KO:K06067]
	HDAC2 [HSA:3066] [KO:K06067]
	HDAC3 [HSA:8841] [KO:K11404]
	HDAC8 [HSA:55869] [KO:K11405]
	HDAC4 [HSA:9759] [KO:K11406]
	HDAC5 [HSA:10014] [KO:K11406]
	HDAC6 [HSA:10013] [KO:K11407]
	HDAC7 [HSA:51564] [KO:K11408]
	HDAC9 [HSA:9734] [KO:K11409]
	HDAC10 [HSA:83933] [KO:K18671]
	PIK3C3 [HSA:5289] [KO:K00914]
D11320	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D11321	ADRA2 [HSA:150 151 152] [KO:K04138 K04139 K04140]
D11322	PIK3CD [HSA:5293] [KO:K00922]
	CSNK1E [HSA:1454] [KO:K08960]
D11323	PIK3CD [HSA:5293] [KO:K00922]
	CSNK1E [HSA:1454] [KO:K08960]
D11324	IL2RA (CD25) [HSA:3559] [KO:K05068]
D11325	IL2RA (CD25) [HSA:3559] [KO:K05068]
D11326	BRD4 [HSA:23476] [KO:K11722]
D11328	SLC6A2 (NAT1) [HSA:6530] [KO:K05035]
	SLC6A3 (DAT1) [HSA:6531] [KO:K05036]
D11329	beta-lactamases
D11331	C5 (C5a) [HSA:727] [KO:K03994]
D11332	SELE (CD62E) [HSA:6401] [KO:K06494]
D11333	CD19 [HSA:930] [KO:K06465]
D11334	MC1R [HSA:4157] [KO:K04199]
D11336	NR3C1 (GR) [HSA:2908] [KO:K05771]
D11337	GLP2R [HSA:9340] [KO:K04582]
D11338	CD19 [HSA:930] [KO:K06465]
D11339	FCGR2B (CD32) [HSA:2213] [KO:K12560]
D11340	GRIN2B (NMDAR2B) [HSA:2904] [KO:K05210]
D11341	EGR1 [HSA:1958] [KO:K09203]
D11342	GCK [HSA:2645] [KO:K12407]
D11343	CSF2 [HSA:1437] [KO:K05427]
D11344	MET [HSA:4233] [KO:K05099]
D11345	TACR3 (NK3R) [HSA:6870] [KO:K04224]
D11346	ALK (CD246) [HSA:238] [KO:K05119]
D11347	BRD4 [HSA:23476] [KO:K11722]
D11348	CD28 [HSA:940] [KO:K06470]
D11349	P2RX3 [HSA:5024] [KO:K05217]
D11350	LAG3 (CD223) [HSA:3902] [KO:K06565]
D11351	GNRHR [HSA:2798] [KO:K04280]
D11352	TYMS [HSA:7298] [KO:K00560]
	DHFR [HSA:1719 200895] [KO:K00287]
	GART [HSA:2618] [KO:K11787]
D11353	KIT (CD117) [HSA:3815] [KO:K05091]
	PDGFRA [HSA:5156] [KO:K04363]
D11354	PIK3CD [HSA:5293] [KO:K00922]
D11355	RGMA [HSA:56963] [KO:K23096]
D11356	ALK (CD246) [HSA:238] [KO:K05119]
D11357	TNFRSF5 (CD40) [HSA:958] [KO:K03160]
D11358	IL3RA (CD123) [HSA:3563] [KO:K04737]
D11359	GCGR [HSA:2642] [KO:K04583]
D11360	GIPR [HSA:2696] [KO:K04580]
	GLP1R [HSA:2740] [KO:K04581]
D11361	WEE1 [HSA:7465] [KO:K06632]
D11363	TNNC2 [HSA:7125] [KO:K12042]
	TNNI2 [HSA:7136] [KO:K12043]
	TNNT3 [HSA:7140] [KO:K12046]
D11364	HCV NS5B polymerase [KO:K22472]
D11365	AHR [HSA:196] [KO:K09093]
D11366	PDCD1 (PD1, CD279) [HSA:5133] [KO:K06744]
D11367	Influenza polymerase basic protein 2 [KO:K19388]
D11368	EGFR [HSA:1956] [KO:K04361]
D11369	RSPO3 [HSA:84870] [KO:K23098]
D11370	TACR1 (NK1R) [HSA:6869] [KO:K04222]
D11371	AKT (PKB) [HSA:207 208 10000] [KO:K04456]
D11372	CD19 [HSA:930] [KO:K06465]
	CD3E [HSA:916] [KO:K06451]
D11375	ERBB2 (HER2, CD340) [HSA:2064] [KO:K05083]
	DNA
D11376	CTSS [HSA:1520] [KO:K01368]
D11377	HAVCR2 (CD366) [HSA:84868] [KO:K20414]
D11378	CSF1R (FMS, CD115) [HSA:1436] [KO:K05090]
D11379	CSF1R (FMS, CD115) [HSA:1436] [KO:K05090]
D11380	RSV F protein [KO:K19261]
D11381	Influenza A virus hemagglutinin [KO:K19251]
D11382	HIV protease [KO:K22599]
	HIV-1 reverse transcriptase [KO:K24802]
D11383	CHRM [HSA:1128 1129 1131 1132 1133] [KO:K04129 K04130 K04131 K04132 K04133]
	SIGMAR1 [HSA:10280] [KO:K20719]
D11384	MAPT (TAU) [HSA:4137] [KO:K04380]
D11385	RARRES3 (DDX58, RIG1) [HSA:5920] [KO:K23266]
	NOD2 [HSA:64127] [KO:K10165]
D11386	CD19 [HSA:930] [KO:K06465]
D11391	HBV reverse transcriptase [KO:K21037]
	HIV-1 reverse transcriptase [KO:K24802]
D11392	HIV-1 reverse transcriptase [KO:K24802]
D11395	HIV-1 reverse transcriptase [KO:K24802]
D11396	HIV-1 reverse transcriptase [KO:K24802]
D11398	PCSK9 [HSA:255738] [KO:K13050]
D11399	CCR5 (CD195) [HSA:1234] [KO:K04180]
D11400	JAK1 [HSA:3716] [KO:K11217]
